pulocationid,diff_lm,diff_rf,total_trips,average_diff_lm,average_diff_rf
62,313.61355592842386,-104.70939865739754,309,1.0149306017101096,-0.338865367823293
63,-79.41926852544832,-45.39994218061404,164,-0.48426383247224586,-0.2768289157354515
64,-113.89204676451557,-42.956365265693776,43,-2.6486522503375713,-0.9989852387370646
65,-55.19929712487557,-421.28635665775954,5725,-0.009641798624432414,-0.07358713653410646
66,-308.0033582294148,-545.7753956294498,2308,-0.13345032852227678,-0.2364711419538344
67,-97.1949230291657,-38.95670169520663,96,-1.0124471148871426,-0.40579897599173576
68,3085.8385574739305,2669.7306804160366,230715,0.013375110233291855,0.011571552263251357
69,112.93617328689119,-160.23765744105617,301,0.3752032335112664,-0.5323510213988577
70,7518.843275338751,-444.3777426450565,35556,0.21146482380860476,-0.012497967787294874
71,399.7063191661187,-36.15097971770387,285,1.4024783128635745,-0.12684554286913638
72,413.06098542314544,-59.465488545492846,376,1.098566450593472,-0.15815289506780011
73,14.111600030709855,-13.752731656766379,40,0.35279000076774636,-0.3438182914191595
74,-6813.258888209881,-7340.716608013942,16510,-0.4126746752398474,-0.44462244748721635
75,-14712.910172568498,-13975.203051323266,53266,-0.27621578816822173,-0.2623662946593186
76,-64.67990616563797,-204.09750768024907,683,-0.09469971620151972,-0.29882504784809527
77,37.780840305722364,-24.95916618547889,133,0.2840664684640779,-0.1876629036502172
78,-77.50928274991755,-155.47626003556564,235,-0.3298267351060321,-0.6616011065343219
79,-8881.954057152941,-7388.191179096252,253139,-0.035087260584710143,-0.02918630151456809
80,-106.71599485160489,-324.4433723401056,1264,-0.08442721111677602,-0.2566798831804633
81,-85.60973271084309,-47.755638963224754,168,-0.5095817423264469,-0.28425975573348067
82,271.74350356083994,-233.94313343050442,700,0.3882050050869142,-0.334204476329292
83,30.59088970738879,-106.18280970485327,237,0.12907548399742105,-0.44802873293187034
85,67.37578307404185,-38.32949564294663,162,0.4158998955187768,-0.2366018249564607
86,-788.128268575629,-99.30685009180206,262,-3.0081231625024007,-0.37903377897634377
87,439.3408895459579,-1840.8786347632206,53128,0.008269479173805864,-0.034649876426050684
88,852.491722034675,-199.5608488281629,23161,0.036807207030554595,-0.008616244930191395
89,238.27104587174713,-173.7792502756155,545,0.4371945795811874,-0.31886100968002845
90,-1145.8867012369064,776.9594986003054,161864,-0.007079317830011036,0.004800075981072415
91,122.06161822568701,-142.68496439821888,434,0.28124796826195164,-0.32876719907423707
92,-232.215837429785,-162.8511290365165,264,-0.8796054448097917,-0.6168603372595323
93,815.842090488665,59.64011327490875,1176,0.6937432742250553,0.05071438203648703
94,37.96815950972554,-14.317479675003375,96,0.395501661559641,-0.14914041328128516
95,610.8318449623563,-145.784038553013,687,0.8891293230893105,-0.21220384068851966
96,-9.751070571935994,-29.673376322871768,17,-0.5735923865844702,-1.7454927248748098
97,-44.467695301443456,-542.37664335486,2933,-0.015161164439632955,-0.18492214229623594
98,8.73084263260805,-29.970305843131065,74,0.11798435990010879,-0.40500413301528465
100,-3345.1821340072165,-2235.3829766546314,137989,-0.02424238261026036,-0.01619971864898384
101,-277.1251780388538,-70.6951750696784,115,-2.4097841568595983,-0.6147406527798122
102,180.89823599720236,-19.912152543088173,126,1.4357002856920822,-0.15803295669117598
106,84.7245284851986,-53.17333391261208,315,0.2689667570958686,-0.16880423464321295
107,-10270.199043513785,-6785.597759916049,228898,-0.04486801563802997,-0.02964463542676672
108,-413.9111347515865,-61.48952327377893,209,-1.9804360514429975,-0.2942082453290858
