date,snow,tavg,fog,thunder,haze,wind_strength
06-26,0,81.5,0,0,0,2
06-27,0,73.0,0,0,1,2
06-28,0,72.5,0,0,0,2
06-29,0,75.0,0,0,1,2
06-30,0,77.5,0,0,0,2
07-01,0,82.0,0,0,1,2
07-02,0,80.0,0,0,0,2
07-03,0,80.5,0,0,0,2
07-04,0,75.0,0,0,1,2
07-05,0,78.5,0,0,0,3
07-06,0,78.0,0,0,1,3
07-07,0,76.5,0,0,0,3
07-08,0,75.5,0,0,0,1
07-09,0,78.0,0,0,0,2
07-10,0,75.0,0,0,0,3
07-11,0,76.0,0,0,1,3
07-12,0,80.0,0,0,0,3
07-13,0,82.5,0,0,0,2
07-14,0,81.0,0,0,0,2
07-15,0,79.5,0,0,0,3
07-16,0,75.5,0,1,1,2
07-17,0,77.0,0,0,0,2
07-18,0,75.0,0,0,0,2
07-19,0,81.5,0,0,0,3
07-20,0,86.5,0,0,0,3
07-21,0,83.0,0,1,0,3
07-22,0,86.0,0,0,0,2
07-23,0,86.5,0,0,0,2
07-24,0,87.0,0,0,0,3
07-25,0,79.5,0,1,0,3
07-26,0,76.0,0,0,0,2
07-27,0,77.5,0,0,0,2
07-28,0,80.0,0,0,0,2
07-29,0,78.5,0,0,0,2
07-30,0,80.0,0,0,0,3
07-31,0,78.5,0,0,0,2
08-01,0,72.5,0,0,1,2
08-02,0,81.0,0,0,0,2
08-03,0,80.0,0,0,0,2
08-04,0,84.5,0,0,0,2
08-05,0,83.5,0,0,0,2
08-06,0,84.5,0,0,0,3
08-07,0,84.0,0,1,0,3
08-08,0,86.0,0,0,0,3
08-09,0,87.5,0,1,0,3
08-10,0,81.0,0,0,0,2
08-11,0,80.5,0,0,0,2
08-12,0,78.0,0,0,0,3
08-13,0,72.0,0,0,0,3
08-14,0,74.0,0,0,0,2
08-15,0,75.5,0,0,0,1
08-16,0,74.5,0,0,0,3
08-17,0,72.0,0,1,1,2
08-18,0,74.5,0,0,0,2
08-19,0,79.5,0,0,0,2
08-20,0,82.0,0,0,0,2
08-21,0,77.0,0,0,0,2
08-22,0,76.0,0,0,0,2
08-23,0,79.0,0,0,1,2
08-24,0,80.5,0,0,0,2
08-25,0,81.5,0,0,0,2
08-26,0,80.5,0,1,0,2
08-27,0,82.0,0,0,0,2
08-28,0,77.5,0,0,0,3
08-29,0,80.0,0,0,0,2
08-30,0,81.0,0,0,0,3
08-31,0,77.0,0,0,0,3
09-01,0,77.5,0,0,1,3
09-02,0,70.5,0,0,0,2
09-03,0,73.5,0,0,0,2
09-04,0,80.5,0,0,0,2
09-05,0,80.5,0,0,0,2
09-06,0,70.5,0,0,0,2
09-07,0,68.5,0,0,0,4
09-08,0,71.5,0,0,0,3
09-09,0,71.0,0,0,0,2
09-10,0,75.0,0,0,0,2
09-11,0,71.5,0,0,0,2
09-12,0,74.5,0,1,0,1
09-13,0,75.0,0,1,0,2
09-14,0,71.0,0,0,0,3
09-15,0,68.0,0,0,0,3
09-16,0,66.0,0,0,0,2
09-17,0,70.0,0,0,0,3
09-18,0,75.0,0,0,0,3
09-19,0,76.5,0,1,0,2
09-20,0,73.0,0,0,0,3
09-21,0,71.0,0,0,0,2
09-22,0,66.0,0,1,0,4
09-23,0,57.0,0,0,0,5
09-24,0,59.0,0,0,0,3
09-25,0,65.5,0,1,0,2
09-26,0,66.0,0,0,0,3
09-27,0,64.5,0,0,0,3
09-28,0,61.0,0,0,0,3
09-29,0,59.5,0,0,0,3
09-30,0,57.0,0,0,0,4
10-01,0,56.0,0,0,0,5
10-02,0,55.0,0,0,0,5
10-03,0,50.0,0,0,0,5
10-04,0,50.5,0,1,0,5
10-05,0,56.5,0,0,0,3
10-06,0,63.5,0,0,0,2
10-07,0,67.0,0,0,0,3
10-08,0,52.5,0,0,0,3
10-09,0,52.5,0,0,0,2
10-10,0,59.5,0,0,0,2
10-11,0,60.5,0,0,0,2
10-12,0,63.5,0,0,0,2
10-13,0,61.5,0,1,0,3
10-14,0,59.5,0,0,1,2
10-15,0,59.0,0,0,0,2
10-16,0,58.0,0,0,0,2
10-17,0,59.5,0,0,0,2
10-18,0,51.0,0,0,0,3
10-19,0,48.0,0,0,0,3
10-20,0,51.0,0,0,0,3
10-21,0,54.0,0,0,1,2
10-22,0,57.5,0,0,0,2
10-23,0,57.5,0,0,0,4
10-24,0,58.0,0,0,0,4
10-25,0,65.5,0,0,0,2
10-26,0,66.0,0,0,1,2
10-27,0,58.5,0,0,0,4
10-28,0,50.5,0,0,0,3
10-29,0,50.5,0,0,0,2
10-30,0,53.0,0,0,0,1
10-31,0,58.0,0,0,0,1
11-01,0,63.0,0,0,1,2
11-02,0,62.0,0,0,0,2
11-03,0,59.5,0,0,0,2
11-04,0,61.5,0,0,1,2
11-05,0,70.0,0,0,0,3
11-06,0,70.5,0,0,0,3
11-07,0,65.5,0,0,0,4
11-08,0,52.5,0,0,0,4
11-09,0,46.5,0,0,0,3
11-10,0,56.5,0,0,0,2
11-11,0,63.5,0,0,0,2
11-12,0,64.5,0,0,0,3
11-13,0,51.0,0,0,0,3
11-14,0,41.0,0,0,0,4
11-15,0,40.5,0,0,0,4
11-16,0,44.5,0,0,0,5
11-17,0,41.5,0,0,0,4
11-18,0,39.0,0,0,0,3
11-19,0,35.5,0,0,0,3
11-20,0,35.0,0,0,0,5
11-21,0,34.0,0,0,1,4
11-22,0,44.0,0,0,0,3
11-23,0,48.5,0,0,0,3
11-24,0,47.0,0,0,0,2
11-25,0,50.5,0,0,1,4
11-26,0,49.5,0,0,0,4
11-27,0,54.0,0,0,0,3
11-28,0,47.5,0,0,0,4
11-29,0,40.0,0,0,0,2
11-30,0,49.0,0,0,0,4
12-01,0,39.0,0,0,0,5
12-02,0,39.5,0,0,0,2
12-03,0,51.5,0,0,0,4
12-04,0,41.5,0,0,0,3
12-05,0,42.0,0,0,0,2
12-06,0,50.0,0,0,0,3
12-07,0,56.5,0,0,0,2
12-08,0,48.5,0,0,0,3
12-09,0,40.5,0,0,0,4
12-10,0,35.5,0,0,0,4
12-11,0,36.5,0,0,0,5
12-12,0,33.0,0,0,0,3
12-13,0,32.5,0,0,0,3
12-14,0,35.0,0,0,0,4
12-15,0,37.5,0,0,0,5
12-16,0,41.0,0,0,0,5
12-17,0,40.0,0,0,0,5
12-18,0,36.0,0,0,0,4
12-19,0,35.0,0,0,0,4
12-20,0,34.5,0,0,0,3
12-21,0,33.5,0,0,0,1
12-22,0,41.0,0,0,0,5
12-23,0,33.0,0,0,1,5
12-24,0,11.0,0,0,0,5
12-25,0,21.0,0,0,0,5
12-26,0,23.5,0,0,0,4
12-27,0,32.0,0,0,0,3
12-28,0,40.0,0,0,1,3
12-29,0,45.5,0,0,0,4
12-30,0,54.0,0,0,1,2
12-31,0,52.5,0,0,1,1
